source_id,original_column,column_description,data_type,required_for_mvp,example_value,notes
OGD_UDYAM_DISTRICT,state_name,Full state/UT name,Text,No,ANDHRA PRADESH,"	Full state name"
OGD_UDYAM_DISTRICT,state_id,"	Numeric code for state",Integer,No,"	28","	Numeric state code"
OGD_UDYAM_DISTRICT,district_name,"	District name within state",Text,Yes,"	SRIKAKULAM",
OGD_UDYAM_DISTRICT,lg_dt_code,Local government/district code (likely a standard admin code),Integer,Yes,"	519",
OGD_UDYAM_DISTRICT,medium,Count of Medium enterprises registered under UDYAM,Integer,Yes,"	17","	Count of Medium enterprises registered under UDYAM for this district"
OGD_UDYAM_DISTRICT,micro,Count of Micro enterprises registered under UDYAM,Integer,Yes,"	64721","	Count of Micro enterprises registered under UDYAM for this district"
OGD_UDYAM_DISTRICT,small,Count of Small enterprises registered under UDYAM,Integer,Yes,"	409",Count of Small enterprises registered under UDYAM for this district
OGD_UDYAM_DISTRICT,total,"	Sum of micro + small + medium for that district","	Integer",Yes,"	65147",
